Country,trending_date,views
Japan,18.10.02,171342
Japan,18.10.02,18581
Japan,18.10.02,18533
Japan,18.10.02,1062516
Japan,18.10.02,79253
Japan,18.10.02,164588
Japan,18.10.02,192933
Japan,18.10.02,15810
Japan,18.10.02,3165
Japan,18.10.02,202995
Japan,18.10.02,17489
Japan,18.10.02,117660
Japan,18.10.02,25497
Japan,18.10.02,9629
Japan,18.10.02,7771
Japan,18.10.02,463321
Japan,18.10.02,229903
Japan,18.10.02,4360
Japan,18.10.02,64985
Japan,18.10.02,5789
Japan,18.10.02,41878
Japan,18.10.02,99677
Japan,18.10.02,25534
Japan,18.10.02,163885
Japan,18.10.02,375204
Japan,18.10.02,445775
Japan,18.10.02,60185
Japan,18.10.02,14159
Japan,18.10.02,9960
Japan,18.10.02,159399
Japan,18.10.02,5065
Japan,18.10.02,120191
Japan,18.10.02,5700
Japan,18.10.02,12727
Japan,18.10.02,16573
Japan,18.10.02,12592
Japan,18.10.02,129158
Japan,18.10.02,17205
Japan,18.10.02,124500
Japan,18.10.02,239285
Japan,18.10.02,2362
Japan,18.10.02,215986
Japan,18.10.02,95541
Japan,18.10.02,66242
Japan,18.10.02,698233
Japan,18.10.02,22376
Japan,18.10.02,4421
Japan,18.10.02,171595
Japan,18.10.02,39517
Japan,18.10.02,174274
Japan,18.10.02,75953
Japan,18.10.02,32550
Japan,18.10.02,32924
Japan,18.10.02,40088
Japan,18.10.02,6007
Japan,18.10.02,30681
Japan,18.10.02,299130
Japan,18.10.02,13999
Japan,18.10.02,21750
Japan,18.10.02,12186
Japan,18.10.02,37442
Japan,18.10.02,117056
Japan,18.10.02,46739
Japan,18.10.02,96082
Japan,18.10.02,294388
Japan,18.10.02,5442
Japan,18.10.02,23742
Japan,18.10.02,23034
Japan,18.10.02,36622
Japan,18.10.02,77579
Japan,18.10.02,56670
Japan,18.10.02,140476
Japan,18.10.02,3368873
Japan,18.10.02,102782
Japan,18.10.02,15155
Japan,18.10.02,2768013
Japan,18.10.02,109367
Japan,18.10.02,15729
Japan,18.10.02,28177
Japan,18.10.02,251220
Japan,18.10.02,48483
Japan,18.10.02,41252
Japan,18.10.02,87016
Japan,18.10.02,28245
Japan,18.10.02,14174
Japan,18.10.02,350732
Japan,18.10.02,108868
Japan,18.10.02,50653
Japan,18.10.02,277774
Japan,18.10.02,18727
Japan,18.10.02,13310
Japan,18.10.02,19829
Japan,18.10.02,35770
Japan,18.10.02,591530
Japan,18.10.02,5690
Japan,18.10.02,7774
Japan,18.10.02,132747
Japan,18.10.02,360254
Japan,18.10.02,693407
Japan,18.10.02,7939
Japan,18.10.02,34953
Japan,18.10.02,14474
Japan,18.10.02,40598
Japan,18.10.02,5531
Japan,18.10.02,573216
Japan,18.10.02,26004
Japan,18.10.02,16856
Japan,18.10.02,186035
Japan,18.10.02,4583
Japan,18.10.02,95422
Japan,18.10.02,5951
Japan,18.10.02,3775
Japan,18.10.02,5667
Japan,18.10.02,41808
Japan,18.10.02,28105
Japan,18.10.02,6320
Japan,18.10.02,23420
Japan,18.10.02,1138699
Japan,18.10.02,50679
Japan,18.10.02,778712
Japan,18.10.02,658695
Japan,18.10.02,148882
Japan,18.10.02,28672
Japan,18.10.02,120032
Japan,18.10.02,123652
Japan,18.10.02,7411
Japan,18.10.02,131781
Japan,18.10.02,171342
Japan,18.10.02,18581
Japan,18.10.02,18533
Japan,18.10.02,1062516
Japan,18.10.02,79253
Japan,18.10.02,164588
Japan,18.10.02,192933
Japan,18.10.02,15810
Japan,18.10.02,3165
Japan,18.10.02,202995
Japan,18.10.02,17489
Japan,18.10.02,117660
Japan,18.10.02,25497
Japan,18.10.02,9629
Japan,18.10.02,7771
Japan,18.10.02,463321
Japan,18.10.02,230228
Japan,18.10.02,4360
Japan,18.10.02,64985
Japan,18.10.02,5789
Japan,18.10.02,41878
Japan,18.10.02,99677
Japan,18.10.02,25534
Japan,18.10.02,163885
Japan,18.10.02,375204
Japan,18.10.02,445775
Japan,18.10.02,60185
Japan,18.10.02,14159
Japan,18.10.02,9960
Japan,18.10.02,159399
Japan,18.10.02,5065
Japan,18.10.02,120191
Japan,18.10.02,5700
Japan,18.10.02,12727
Japan,18.10.02,16573
Japan,18.10.02,12592
Japan,18.10.02,129158
Japan,18.10.02,17205
Japan,18.10.02,124500
Japan,18.10.02,239285
Japan,18.11.02,975975
Japan,18.11.02,159576
Japan,18.11.02,74370
Japan,18.11.02,96277
Japan,18.11.02,277005
Japan,18.11.02,41055
Japan,18.11.02,56493
Japan,18.11.02,63863
Japan,18.11.02,252330
Japan,18.11.02,176148
Japan,18.11.02,27653
Japan,18.11.02,65690
Japan,18.11.02,219090
Japan,18.11.02,4880
Japan,18.11.02,199731
Japan,18.11.02,165427
Japan,18.11.02,180561
Japan,18.11.02,59229
Japan,18.11.02,166119
Japan,18.11.02,78403
Japan,18.11.02,6654
Japan,18.11.02,328077
Japan,18.11.02,337017
Japan,18.11.02,133803
Japan,18.11.02,3257
Japan,18.11.02,10541
Japan,18.11.02,46707
Japan,18.11.02,114170
Japan,18.11.02,125628
Japan,18.11.02,13770
Japan,18.11.02,6499
Japan,18.11.02,5754
Japan,18.11.02,6241
Japan,18.11.02,27078
Japan,18.11.02,7387
Japan,18.11.02,223413
